synonyme	name
^([0-9]{3,4})\\D[0-9]{3,4}$	\\1
^fl\\. ([0-9]{3,4})\\D[0-9]{3,4}$	NA
^n\\. ([0-9]{4})\\D[0-9]{4}$	\\1
^([0-9]{4})\\Dn\\. [0-9]{4}$	\\1
^n\\. ([0-9]{4})\\Dn\\. [0-9]{4}$	\\1
^s\\. ([0-9]{4})$	\\1
^s\\. n\\. ([0-9]{4})$	\\1
^k\\. ([0-9]{4})$	NA
^d\\. ([0-9]{4})$	NA
^k\\. n\\. ([0-9]{4})$	NA
^k\\. ennen ([0-9]{4})$	NA
^k\\. viimeistään ([0-9]{4})$	NA
^k\\. ([0-9]{4}) jälkeen$	NA
^s\\. n\\. ([0-9]{4}), k\\. [0-9]{4}$	\\1
^s\\. ([0-9]{4}), k\\. n\\. [0-9]{4}$	\\1
^[0-9]{4}\\Dluku$	NA
^eli vielä ([0-9]{4})$	NA
^[0-9]$	NA
^([0-9]{2,3})\\D[0-9]{2,3} e\\.Kr$	\\-\\1
^n\\. ([0-9]{2,3})\\D[0-9]{2,3} e\\.Kr$	\\-\\1
^([0-9]{2,3})\\D[0-9]{2,3} e\\. Kr$	\\-\\1
^n\\. ([0-9]{2,3})\\D[0-9]{2,3} e\\. Kr$	\\-\\1
^s\\. ehkä 1620-luvulla, k\\. 1694$	NA
^s\\. 1630-luvulla, k\\. 1684$	NA
^s\\. 1590-luvulla, k\\. 1651$	NA
^k\\. 1616/1617$	NA
^n\\. 20 e\\.Kr\\.-40 j\\.Kr$	-20
^1600/1700\\-luku$	NA
^eli 300\\-luvun puolivälissä$	NA
^300-l\\. j\\. Kr$	NA
^k\\. 1730-luvulla$	NA
^k\\. vähän ennen vuotta 1600$	NA
^n\\. 363-425 j\\.Kr$	NA
^s\\. 1678, k\\. 1695 jälkeen$	1678
^s\\. n\\. 1560, k\\. ennen 1617$	1560
^s\\. viim\\. 1638, k\\. 1681$	NA
^toiminta\\-aika 1770\\-luku$	NA
